%time,Roll,Pitch,Yaw,Airspeed,VelocityX,VelocityY,VelocityZ,Anomaly
1531944031317954007,6.437785149,-1.691939235,-95.81396484,0,-2.410498619,-17.46360207,0.305700809,0
1531944031366692633,6.437785149,-1.691939235,-95.81396484,0,-2.194646358,-17.47088814,0.296207219,0
1531944031405431070,6.437785149,-1.691939235,-95.81396484,0,-2.061104774,-17.48074913,0.242061019,0
1531944031461613783,6.437785149,-1.691939235,-95.81396484,0,-1.902878404,-17.52142143,0.163218483,0
1531944031512367078,16.06657982,-0.472388864,-93.12742615,0,-1.794775963,-17.57156372,0.060761429,0
1531944031537873164,16.06657982,-0.472388864,-93.12742615,0,-1.740934134,-17.62011719,-0.017776214,0
1531944031584070504,16.06657982,-0.472388864,-93.12742615,0,-1.730764389,-17.6443119,-0.05289907,0
1531944031637412861,16.06657982,-0.472388864,-93.12742615,0,-1.73242569,-17.69296074,-0.092125177,0
1531944031664780529,16.06657982,-0.472388864,-93.12742615,0,-1.767994285,-17.76144218,-0.044349458,0
1531944031738173634,16.06657982,-0.472388864,-93.12742615,0,-1.796083808,-17.81046295,0.029885238,0
1531944031767451779,16.06657982,-0.472388864,-93.12742615,0,-1.83391571,-17.86064339,0.092208028,0
1531944031805234897,-5.072975636,-2.270016909,-93.66867828,0,-1.995730519,-17.95104218,0.189629674,0
1531944031904460165,-5.072975636,-2.270016909,-93.66867828,0,-2.12958765,-17.9902153,0.255553633,0
1531944031983714012,-5.072975636,-2.270016909,-93.66867828,0,-2.267552137,-18.02369881,0.366735101,0
1531944032015774338,-5.072975636,-2.270016909,-93.66867828,0,-2.314138651,-18.03539085,0.419361204,0
1531944032053159956,-5.072975636,-2.270016909,-93.66867828,0,-2.410824299,-18.04823875,0.518734932,0
1531944032080571271,-5.072975636,-2.270016909,-93.66867828,0,-2.553894997,-18.06587982,0.699171901,0
1531944032123506915,-5.072975636,-2.270016909,-93.66867828,0,-2.70305872,-18.08224678,0.849464357,0
1531944032215844315,-18.52810478,-5.215023994,-93.02304077,0,-2.765371084,-18.07275963,0.89825511,0
1531944032240887333,-18.52810478,-5.215023994,-93.02304077,0,-2.919872046,-18.07525635,1.040012479,0
1531944032290379841,-18.52810478,-5.215023994,-93.02304077,0,-3.08440733,-18.05669975,1.16416657,0
1531944032341727722,-18.52810478,-5.215023994,-93.02304077,0,-3.402678967,-18.00643539,1.29838264,0
1531944032448870640,-18.52810478,-5.215023994,-93.02304077,0,-3.520091772,-17.98436546,1.361343741,0
1531944032502493859,-18.52810478,-5.215023994,-93.02304077,0,-3.774990082,-17.92527008,1.425720096,0
1531944032538596866,-18.52810478,-5.215023994,-93.02304077,0,-3.984692574,-17.87621307,1.462510228,0
1531944032629529639,-18.52810478,-5.215023994,-93.02304077,0,-4.255996704,-17.80394173,1.509819746,0
1531944032703550674,-21.26247597,-5.758872986,-95.90539551,0,-4.323843956,-17.78428841,1.527613282,0
1531944032732473975,-21.26247597,-5.758872986,-95.90539551,0,-4.525512695,-17.72193909,1.597834468,0
1531944032785442128,-21.26247597,-5.758872986,-95.90539551,0,-4.728785515,-17.65727425,1.679185271,0
1531944032860159476,-21.26247597,-5.758872986,-95.90539551,0,-5.012816429,-17.56654549,1.786887169,0
1531944032902216664,-21.26247597,-5.758872986,-95.90539551,0,-5.302788734,-17.47236824,1.907831192,0
1531944032989561569,-21.26247597,-5.758872986,-95.90539551,0,-5.447064877,-17.42917061,1.94558382,0
1531944033061554144,-21.26247597,-5.758872986,-95.90539551,0,-5.664130688,-17.35689926,1.989807844,0
1531944033107803420,-22.14867973,-7.903771877,-101.6145782,0,-5.812356472,-17.31529808,2.024556398,0
1531944033151735758,-22.14867973,-7.903771877,-101.6145782,0,-6.113984108,-17.21961403,2.130326986,0
1531944033226506642,-22.14867973,-7.903771877,-101.6145782,0,-6.313606262,-17.15268326,2.218855381,0
1531944033288723665,-22.14867973,-7.903771877,-101.6145782,0,-6.435097218,-17.11525726,2.272746801,0
1531944033337139415,-22.14867973,-7.903771877,-101.6145782,0,-6.720880032,-17.02737808,2.385033369,0
1531944033388773822,-22.14867973,-7.903771877,-101.6145782,0,-6.911598682,-16.96290016,2.472136498,0
1531944033449878952,-22.91665649,-9.488915443,-104.3075104,0,-7.028893948,-16.92112541,2.56519866,0
1531944033499242373,-22.91665649,-9.488915443,-104.3075104,0,-7.088812351,-16.89575195,2.621767998,0
1531944033530705809,-22.91665649,-9.488915443,-104.3075104,0,-7.355068207,-16.7793026,2.920255661,0
1531944033627886586,-22.91665649,-9.488915443,-104.3075104,0,-7.523335934,-16.71456909,3.077972412,0
1531944033687595697,-22.91665649,-9.488915443,-104.3075104,0,-7.635922909,-16.67272568,3.16861701,0
1531944033734475399,-22.91665649,-9.488915443,-104.3075104,0,-7.853653431,-16.59561157,3.319783688,0
1531944033801946706,-22.91665649,-9.488915443,-104.3075104,0,-7.916615486,-16.57578468,3.355069399,0
1531944033836922396,-22.91665649,-9.488915443,-104.3075104,0,-8.079060555,-16.52396393,3.431214333,0
1531944033889285980,-22.91665649,-9.488915443,-104.3075104,0,-8.247619629,-16.47603607,3.511536598,0
1531944033934056166,-18.40122032,-12.06574631,-107.9372482,0,-8.398344994,-16.4305687,3.577463627,0
1531944034005847655,-18.40122032,-12.06574631,-107.9372482,0,-8.441548347,-16.41770172,3.608876944,0
1531944034032426307,-18.40122032,-12.06574631,-107.9372482,0,-8.58148098,-16.37159348,3.717803478,0
1531944034083433456,-18.40122032,-12.06574631,-107.9372482,0,-8.661110878,-16.34761238,3.766834021,0
1531944034144522554,-18.40122032,-12.06574631,-107.9372482,0,-8.79473877,-16.31222153,3.858681917,0
1531944034193070175,-18.40122032,-12.06574631,-107.9372482,0,-8.882502556,-16.28874397,3.924778461,0
1531944034232159553,-18.40122032,-12.06574631,-107.9372482,0,-8.953759193,-16.26757813,3.987206459,0
1531944034271914588,-18.40122032,-12.06574631,-107.9372482,0,-9.032110214,-16.24426079,4.064072132,0
1531944034308538774,-13.43792915,-13.76609135,-110.5679932,0,-9.177436829,-16.20476913,4.198962212,0
1531944034394474861,-13.43792915,-13.76609135,-110.5679932,0,-9.254730225,-16.1836586,4.271494865,0
1531944034414217292,-13.43792915,-13.76609135,-110.5679932,0,-9.358712196,-16.16102409,4.346726418,0
1531944034470020266,-13.43792915,-13.76609135,-110.5679932,0,-9.389957428,-16.15517998,4.375444889,0
1531944034510931194,-13.43792915,-13.76609135,-110.5679932,0,-9.532621384,-16.13254929,4.473663807,0
1531944034588346373,-13.43792915,-13.76609135,-110.5679932,0,-9.558869362,-16.13135719,4.482805729,0
1531944034611159877,-13.43792915,-13.76609135,-110.5679932,0,-9.729745865,-16.1192646,4.551752567,0
1531944034724548944,-13.43792915,-13.76609135,-110.5679932,0,-9.818342209,-16.11965179,4.578763008,0
1531944034767017073,-8.310157776,-14.81747913,-113.2273941,0,-9.910979271,-16.12295723,4.599149227,0
1531944034843415909,-8.310157776,-14.81747913,-113.2273941,0,-9.936373711,-16.12664795,4.597766399,0
1531944034858141685,-8.310157776,-14.81747913,-113.2273941,0,-10.06392288,-16.13674736,4.591209888,0
1531944034931160811,-8.310157776,-14.81747913,-113.2273941,0,-10.14643574,-16.159235,4.542297363,0
1531944035008192665,-8.310157776,-14.81747913,-113.2273941,0,-10.21207619,-16.16722488,4.516208172,0
1531944035023166279,-8.310157776,-14.81747913,-113.2273941,0,-10.28572464,-16.19367981,4.443021297,0
1531944035087771247,-8.310157776,-14.81747913,-113.2273941,0,-10.34150219,-16.20275688,4.414315224,0
1531944035137183276,-5.24577713,-14.12447071,-114.3053741,0,-10.40939903,-16.2215271,4.390391827,0
1531944035211545173,-5.24577713,-14.12447071,-114.3053741,0,-10.47478867,-16.22147179,4.402169704,0
1531944035273553398,-5.24577713,-14.12447071,-114.3053741,0,-10.50464439,-16.22816277,4.384962559,0
1531944035305145857,-5.24577713,-14.12447071,-114.3053741,0,-10.56896973,-16.24061775,4.342846394,0
1531944035369207791,-5.24577713,-14.12447071,-114.3053741,0,-10.60615349,-16.24901581,4.296538353,0
1531944035406722272,-5.24577713,-14.12447071,-114.3053741,0,-10.70514965,-16.27627945,4.152881622,0
1531944035514111174,-5.24577713,-14.12447071,-114.3053741,0,-10.74696541,-16.30897522,4.009158134,0
1531944035568966062,-3.083882332,-12.1150713,-114.4336624,0,-10.79950333,-16.32989693,3.882946968,0
1531944035624115730,-3.083882332,-12.1150713,-114.4336624,0,-10.83403206,-16.35801697,3.705946445,0
1531944035679547156,-3.083882332,-12.1150713,-114.4336624,0,-10.8642416,-16.37489128,3.575232983,0
1531944035725867215,-3.083882332,-12.1150713,-114.4336624,0,-10.87006474,-16.39677811,3.436609268,0
1531944035768866155,-3.083882332,-12.1150713,-114.4336624,0,-10.88701344,-16.4051342,3.348533869,0
1531944035830182387,-3.083882332,-12.1150713,-114.4336624,0,-10.88832664,-16.42899132,3.158785343,0
1531944035877853985,-3.083882332,-12.1150713,-114.4336624,0,-10.88799477,-16.46118927,2.84019804,0
1531944035935581836,-3.083882332,-12.1150713,-114.4336624,0,-10.87494373,-16.47236633,2.679209471,0
1531944036038393759,-0.375266761,-9.298743248,-114.0904236,0,-10.86973667,-16.47440338,2.52573514,0
1531944036078610774,-0.375266761,-9.298743248,-114.0904236,0,-10.84830284,-16.47964859,2.411063433,0
1531944036161202511,-0.375266761,-9.298743248,-114.0904236,0,-10.84106541,-16.4804821,2.361619473,0
1531944036193479668,-0.375266761,-9.298743248,-114.0904236,0,-10.83979225,-16.47337723,2.261902571,0
1531944036208160452,-0.375266761,-9.298743248,-114.0904236,0,-10.81438065,-16.46613503,2.108230829,0
1531944036248939158,-0.375266761,-9.298743248,-114.0904236,0,-10.79871082,-16.45563126,2.016860485,0
1531944036317738166,-0.375266761,-9.298743248,-114.0904236,0,-10.7952528,-16.44080162,1.922917008,0
1531944036358861476,0.99555707,-6.471579075,-115.0950775,0,-10.77618313,-16.42863083,1.80926168,0
1531944036399066427,0.99555707,-6.471579075,-115.0950775,0,-10.76142025,-16.40561867,1.652374387,0
1531944036437398532,0.99555707,-6.471579075,-115.0950775,0,-10.75333977,-16.38415909,1.553316236,0
1531944036468049177,0.99555707,-6.471579075,-115.0950775,0,-10.7295866,-16.36538315,1.454245806,0
1531944036535566245,0.99555707,-6.471579075,-115.0950775,0,-10.71277142,-16.32413483,1.363008976,0
1531944036577220526,0.99555707,-6.471579075,-115.0950775,0,-10.70951176,-16.30910301,1.325971484,0
1531944036613042832,0.99555707,-6.471579075,-115.0950775,0,-10.67645645,-16.27267647,1.210599184,0
1531944036674062108,0.17434682,-4.832958698,-115.1225891,0,-10.66636372,-16.25701141,1.180497289,0
1531944036712684130,0.17434682,-4.832958698,-115.1225891,0,-10.64019585,-16.18610191,1.091893792,0
