%time,Roll,Pitch,Yaw,Airspeed,VelocityX,VelocityY,VelocityZ,Anomaly
1536693419523319448,9.61367321,-1.68626523,-72.03912354,0,5.056713104,-17.30558586,0.299935579,0
1536693419549132120,9.61367321,-1.68626523,-72.03912354,0,5.164293766,-17.26181793,0.328086227,0
1536693419663381656,23.87464523,-1.503906131,-71.52481079,0,5.390406609,-17.18513489,0.40786013,0
1536693419674699544,23.87464523,-1.503906131,-71.52481079,0,5.459320545,-17.16337013,0.434650987,0
1536693419738878808,23.87464523,-1.503906131,-71.52481079,0,5.711187363,-17.07436371,0.52097559,0
1536693419799192984,23.87464523,-1.503906131,-71.52481079,0,5.90691185,-17.00440407,0.595986128,0
1536693419865203576,23.87464523,-1.503906131,-71.52481079,0,6.061954021,-16.94794083,0.635198832,0
1536693419905189880,23.87464523,-1.503906131,-71.52481079,0,6.288152218,-16.88036728,0.711028695,0
1536693419955439576,23.87464523,-1.503906131,-71.52481079,0,6.447505474,-16.82362556,0.757028759,0
1536693419999853048,30.80747986,-2.736459732,-67.92739105,0,6.687077045,-16.75335693,0.850912273,0
1536693420071750968,30.80747986,-2.736459732,-67.92739105,0,6.9068923,-16.6757164,0.95636797,0
1536693420106598168,30.80747986,-2.736459732,-67.92739105,0,7.079398632,-16.6107769,1.028473377,0
1536693420137172696,30.80747986,-2.736459732,-67.92739105,0,7.230165958,-16.55463028,1.098593116,0
1536693420165464888,30.80747986,-2.736459732,-67.92739105,0,7.401618481,-16.48023224,1.160921335,0
1536693420262976760,30.80747986,-2.736459732,-67.92739105,0,7.728037834,-16.33978844,1.275694132,0
1536693420332911096,30.80747986,-2.736459732,-67.92739105,0,7.991002083,-16.21360588,1.344755173,0
1536693420371967000,30.80747986,-2.736459732,-67.92739105,0,8.164068222,-16.12210274,1.398346424,0
1536693420462519704,32.6370697,-4.775965214,-61.18000412,0,8.494301796,-15.95022869,1.511900544,0
1536693420494853496,32.6370697,-4.775965214,-61.18000412,0,8.658186913,-15.85429573,1.556964874,0
1536693420524285464,32.6370697,-4.775965214,-61.18000412,0,8.818181038,-15.7531662,1.61092031,0
1536693420587083992,32.6370697,-4.775965214,-61.18000412,0,9.045749664,-15.60888481,1.689240932,0
1536693420641243096,32.6370697,-4.775965214,-61.18000412,0,9.254912376,-15.47024536,1.790907264,0
1536693420670492024,32.6370697,-4.775965214,-61.18000412,0,9.398650169,-15.37172604,1.859670877,0
1536693420713814552,32.6370697,-4.775965214,-61.18000412,0,9.592983246,-15.23559856,1.95686543,0
1536693420788430456,32.6370697,-4.775965214,-61.18000412,0,9.716990471,-15.14621925,2.04288888,0
1536693420842412408,30.16436195,-7.087891102,-56.80589294,0,9.889600754,-15.01392365,2.160176992,0
1536693420887602328,30.16436195,-7.087891102,-56.80589294,0,9.991805077,-14.933218,2.268684864,0
1536693420932099064,30.16436195,-7.087891102,-56.80589294,0,10.20036507,-14.76262665,2.457256556,0
1536693420990672376,30.16436195,-7.087891102,-56.80589294,0,10.39625835,-14.59698296,2.654862165,0
1536693421030612408,30.16436195,-7.087891102,-56.80589294,0,10.43924713,-14.55520344,2.701966524,0
1536693421083292632,30.16436195,-7.087891102,-56.80589294,0,10.6206789,-14.39208412,2.903830051,0
1536693421136012344,30.16436195,-7.087891102,-56.80589294,0,10.71249962,-14.31102467,3.01785183,0
1536693421172519832,30.16436195,-7.087891102,-56.80589294,0,10.78729725,-14.24039364,3.114717245,0
1536693421224087032,25.10926437,-10.84178448,-52.2258606,0,10.90445995,-14.1270256,3.282557249,0
1536693421280725400,25.10926437,-10.84178448,-52.2258606,0,10.96727467,-14.05997849,3.389633417,0
1536693421322649016,25.10926437,-10.84178448,-52.2258606,0,11.02816391,-13.99785328,3.491829872,0
1536693421373878040,25.10926437,-10.84178448,-52.2258606,0,11.19916439,-13.80998516,3.856364489,0
1536693421480329464,25.10926437,-10.84178448,-52.2258606,0,11.24190712,-13.75448322,3.982512951,0
1536693421525052888,25.10926437,-10.84178448,-52.2258606,0,11.29540062,-13.69035816,4.127076149,0
1536693421574488632,25.10926437,-10.84178448,-52.2258606,0,11.37860489,-13.58216763,4.397874355,0
1536693421639504632,19.01870537,-14.83536911,-48.96853256,0,11.39701843,-13.5590477,4.463019848,0
1536693421677836792,19.01870537,-14.83536911,-48.96853256,0,11.44861412,-13.48961163,4.638284683,0
1536693421717981880,19.01870537,-14.83536911,-48.96853256,0,11.51283932,-13.41184139,4.870894909,0
1536693421784091960,19.01870537,-14.83536911,-48.96853256,0,11.52704811,-13.39347458,4.928359032,0
1536693421829443320,19.01870537,-14.83536911,-48.96853256,0,11.56167603,-13.35639095,5.039218426,0
1536693421882639032,19.01870537,-14.83536911,-48.96853256,0,11.6428566,-13.27097988,5.306768894,0
1536693421931127640,14.35518456,-17.40351486,-46.94172668,0,11.6992054,-13.22794342,5.449226379,0
1536693421994617272,14.35518456,-17.40351486,-46.94172668,0,11.75885201,-13.18446064,5.592112541,0
1536693422017607896,14.35518456,-17.40351486,-46.94172668,0,11.79914665,-13.15103626,5.671384811,0
1536693422068891064,14.35518456,-17.40351486,-46.94172668,0,11.83629894,-13.127635,5.759694099,0
1536693422114676120,14.35518456,-17.40351486,-46.94172668,0,11.9276495,-13.07636929,6.001779556,0
1536693422167613112,14.35518456,-17.40351486,-46.94172668,0,11.96712112,-13.05912399,6.133486271,0
1536693422263579832,14.35518456,-17.40351486,-46.94172668,0,11.99380112,-13.05555248,6.211518288,0
1536693422326794488,14.35518456,-17.40351486,-46.94172668,0,12.04432106,-13.05022335,6.310989857,0
1536693422355898136,9.956568718,-20.21978951,-45.06293869,0,12.1025486,-13.04586411,6.392064571,0
1536693422423098744,9.956568718,-20.21978951,-45.06293869,0,12.16610527,-13.03371811,6.459306717,0
1536693422479557048,9.956568718,-20.21978951,-45.06293869,0,12.18824291,-13.03347778,6.480863094,0
1536693422534924344,9.956568718,-20.21978951,-45.06293869,0,12.25519753,-13.03960133,6.538878441,0
1536693422560038072,9.956568718,-20.21978951,-45.06293869,0,12.34172916,-13.07356167,6.599006653,0
1536693422625930360,9.956568718,-20.21978951,-45.06293869,0,12.44703293,-13.10050297,6.643341064,0
1536693422726785112,9.956568718,-20.21978951,-45.06293869,0,12.49033642,-13.1116333,6.657983303,0
1536693422825996216,6.817862034,-20.57262993,-43.92832184,0,12.57590866,-13.13807964,6.680413246,0
1536693422867639224,6.817862034,-20.57262993,-43.92832184,0,12.59441185,-13.14832211,6.68145895,0
1536693422926719224,6.817862034,-20.57262993,-43.92832184,0,12.65919876,-13.20357895,6.691583633,0
1536693422959197432,6.817862034,-20.57262993,-43.92832184,0,12.67366123,-13.21720505,6.693832397,0
1536693423043679960,6.817862034,-20.57262993,-43.92832184,0,12.73387432,-13.27031231,6.696218014,0
1536693423065956472,6.817862034,-20.57262993,-43.92832184,0,12.7519865,-13.28383636,6.692932129,0
