%time,Roll,Rollrange,Pitch,Pitchrange,Yaw,Yawrange,Airspeed,Airspeedrange,VelocityX,VelocityXrange,VelocityY,VelocityYrange,VelocityZ,VelocityZrange,Anomaly
1531946412603167351,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,20.18336487,from 12.48 to 24.29,-16.31027222,from -17.05 to 19.73,-14.67173767,from -18.26 to 21.4,-0.625842273,from -8.6 to 5.3,0
1531946412614876619,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,20.02687263,from 12.48 to 24.29,-16.18459702,from -17.05 to 19.73,-14.77465343,from -18.26 to 21.4,-0.6245085,from -8.6 to 5.3,0
1531946412648878160,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,20.02687263,from 12.48 to 24.29,-15.93707752,from -17.05 to 19.73,-14.97302246,from -18.26 to 21.4,-0.587557554,from -8.6 to 5.3,0
1531946412704792882,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,19.83644676,from 12.48 to 24.29,-15.56342411,from -17.05 to 19.73,-15.23521519,from -18.26 to 21.4,-0.489813149,from -8.6 to 5.3,0
1531946412762269786,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,19.83644676,from 12.48 to 24.29,-15.30381584,from -17.05 to 19.73,-15.41399479,from -18.26 to 21.4,-0.422926635,from -8.6 to 5.3,0
1531946412804851782,42.30096054,from - 50 to 47.3,3.062958241,from -19.3 to 22.93,-141.265686,from -177.3 to 179.2,19.64151955,from 12.48 to 24.29,-15.01576328,from -17.05 to 19.73,-15.5983696,from -18.26 to 21.4,-0.381009966,from -8.6 to 5.3,0
1531946412882984118,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.64151955,from 12.48 to 24.29,-14.43472958,from -17.05 to 19.73,-15.9367094,from -18.26 to 21.4,-0.267569751,from -8.6 to 5.3,0
1531946412897906943,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.64151955,from 12.48 to 24.29,-14.27984142,from -17.05 to 19.73,-16.01267242,from -18.26 to 21.4,-0.24576965,from -8.6 to 5.3,0
1531946413006313803,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.55761528,from 12.48 to 24.29,-13.51735497,from -17.05 to 19.73,-16.37812614,from -18.26 to 21.4,-0.138607606,from -8.6 to 5.3,0
1531946413072692466,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.55761528,from 12.48 to 24.29,-12.84774303,from -17.05 to 19.73,-16.66950989,from -18.26 to 21.4,-0.097823687,from -8.6 to 5.3,0
1531946413101401768,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.55761528,from 12.48 to 24.29,-12.66591263,from -17.05 to 19.73,-16.74804306,from -18.26 to 21.4,-0.11043036,from -8.6 to 5.3,0
1531946413150218019,47.2051239,from - 50 to 47.3,3.055813789,from -19.3 to 22.93,-132.5080719,from -177.3 to 179.2,19.65277863,from 12.48 to 24.29,-11.95434093,from -17.05 to 19.73,-17.02215767,from -18.26 to 21.4,-0.111462981,from -8.6 to 5.3,0
1531946413221003669,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.76651764,from 12.48 to 24.29,-11.58448124,from -17.05 to 19.73,-17.15895462,from -18.26 to 21.4,-0.129151836,from -8.6 to 5.3,0
1531946413237766726,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.76651764,from 12.48 to 24.29,-11.40754318,from -17.05 to 19.73,-17.22213936,from -18.26 to 21.4,-0.129527867,from -8.6 to 5.3,0
1531946413293785530,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.76651764,from 12.48 to 24.29,-10.82046318,from -17.05 to 19.73,-17.42012215,from -18.26 to 21.4,-0.166064098,from -8.6 to 5.3,0
1531946413315954129,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.83759689,from 12.48 to 24.29,-10.62663555,from -17.05 to 19.73,-17.47887611,from -18.26 to 21.4,-0.176555708,from -8.6 to 5.3,0
1531946413402866951,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.83759689,from 12.48 to 24.29,-9.889157295,from -17.05 to 19.73,-17.67953491,from -18.26 to 21.4,-0.203283116,from -8.6 to 5.3,0
1531946413412857227,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.75483513,from 12.48 to 24.29,-9.72342968,from -17.05 to 19.73,-17.71829224,from -18.26 to 21.4,-0.199676946,from -8.6 to 5.3,0
1531946413513392801,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.56884384,from 12.48 to 24.29,-9.031153679,from -17.05 to 19.73,-17.86166382,from -18.26 to 21.4,-0.156442419,from -8.6 to 5.3,0
1531946413530342827,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.56884384,from 12.48 to 24.29,-8.862091064,from -17.05 to 19.73,-17.88900375,from -18.26 to 21.4,-0.141277298,from -8.6 to 5.3,0
1531946413562764707,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.56884384,from 12.48 to 24.29,-8.260787964,from -17.05 to 19.73,-17.96165276,from -18.26 to 21.4,-0.03017569,from -8.6 to 5.3,0
1531946413611549582,46.55588913,from - 50 to 47.3,2.90920639,from -19.3 to 22.93,-122.3568268,from -177.3 to 179.2,19.22000504,from 12.48 to 24.29,-8.094975472,from -17.05 to 19.73,-17.98281479,from -18.26 to 21.4,-0.014272043,from -8.6 to 5.3,0
1531946413690925324,43.69140625,from - 50 to 47.3,1.896269679,from -19.3 to 22.93,-108.404129,from -177.3 to 179.2,19.22138977,from 12.48 to 24.29,-7.190347195,from -17.05 to 19.73,-18.09016991,from -18.26 to 21.4,-0.085865952,from -8.6 to 5.3,0
1531946413731927114,43.69140625,from - 50 to 47.3,1.896269679,from -19.3 to 22.93,-108.404129,from -177.3 to 179.2,19.31838036,from 12.48 to 24.29,-6.188336849,from -17.05 to 19.73,-18.18867111,from -18.26 to 21.4,-0.24907276,from -8.6 to 5.3,0
1531946413812375461,43.69140625,from - 50 to 47.3,1.896269679,from -19.3 to 22.93,-108.404129,from -177.3 to 179.2,19.31838036,from 12.48 to 24.29,-5.540769577,from -17.05 to 19.73,-18.23956108,from -18.26 to 21.4,-0.375227898,from -8.6 to 5.3,0
1531946413877407341,43.69140625,from - 50 to 47.3,1.896269679,from -19.3 to 22.93,-108.404129,from -177.3 to 179.2,19.41622162,from 12.48 to 24.29,-4.896499157,from -17.05 to 19.73,-18.25901222,from -18.26 to 21.4,-0.482392222,from -8.6 to 5.3,0
1531946413927596659,43.69140625,from - 50 to 47.3,1.896269679,from -19.3 to 22.93,-108.404129,from -177.3 to 179.2,19.43984032,from 12.48 to 24.29,-4.075334549,from -17.05 to 19.73,-18.25414276,from -18.26 to 21.4,-0.576968133,from -8.6 to 5.3,0
1531946414015481527,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,19.43984032,from 12.48 to 24.29,-3.282803297,from -17.05 to 19.73,-18.21544838,from -18.26 to 21.4,-0.638746023,from -8.6 to 5.3,0
1531946414099746212,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,19.32722473,from 12.48 to 24.29,-2.896980286,from -17.05 to 19.73,-18.1824398,from -18.26 to 21.4,-0.664044917,from -8.6 to 5.3,0
1531946414129148291,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,19.32722473,from 12.48 to 24.29,-2.532067776,from -17.05 to 19.73,-18.14233971,from -18.26 to 21.4,-0.671001792,from -8.6 to 5.3,0
1531946414168900112,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,19.10271454,from 12.48 to 24.29,-2.179103374,from -17.05 to 19.73,-18.09750938,from -18.26 to 21.4,-0.672999024,from -8.6 to 5.3,0
1531946414214995551,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,19.10271454,from 12.48 to 24.29,-1.654349685,from -17.05 to 19.73,-18.01388359,from -18.26 to 21.4,-0.676995337,from -8.6 to 5.3,0
1531946414304886266,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,18.8787117,from 12.48 to 24.29,-0.781944275,from -17.05 to 19.73,-17.83500481,from -18.26 to 21.4,-0.699665427,from -8.6 to 5.3,0
1531946414369664042,43.95882797,from - 50 to 47.3,2.217162132,from -19.3 to 22.93,-99.6541748,from -177.3 to 179.2,18.741436,from 12.48 to 24.29,-0.152532801,from -17.05 to 19.73,-17.6839962,from -18.26 to 21.4,-0.65991652,from -8.6 to 5.3,0
1531946414453088329,43.40819931,from - 50 to 47.3,3.408344269,from -19.3 to 22.93,-88.57471466,from -177.3 to 179.2,18.741436,from 12.48 to 24.29,0.000917593,from -17.05 to 19.73,-17.63463593,from -18.26 to 21.4,-0.64771986,from -8.6 to 5.3,0
1531946414490610100,43.40819931,from - 50 to 47.3,3.408344269,from -19.3 to 22.93,-88.57471466,from -177.3 to 179.2,18.54066467,from 12.48 to 24.29,0.293172926,from -17.05 to 19.73,-17.54332733,from -18.26 to 21.4,-0.620535135,from -8.6 to 5.3,0
1531946414529959010,43.40819931,from - 50 to 47.3,3.408344269,from -19.3 to 22.93,-88.57471466,from -177.3 to 179.2,18.54066467,from 12.48 to 24.29,0.802299678,from -17.05 to 19.73,-17.36466789,from -18.26 to 21.4,-0.538373113,from -8.6 to 5.3,0
1531946414563875583,43.40819931,from - 50 to 47.3,3.408344269,from -19.3 to 22.93,-88.57471466,from -177.3 to 179.2,18.24806595,from 12.48 to 24.29,0.926056862,from -17.05 to 19.73,-17.32040596,from -18.26 to 21.4,-0.513258278,from -8.6 to 5.3,0
