rollrange,pitchrange,yawrange,rollspeedrange,pitchspeedrange,yawspeedrange,airspeedrange,throttlerange,climbrange,phase,distance meaning,GPS_status,Gyro_status,Accel_status,Baro_status
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,nearer,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,further,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,further,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,further,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,further,1,1,1,1
roll between -0.07 and 0.068,pitch between -0.062 and 0.22,yaw between -2.4 and -2.3,rollspeed between -0.68 and 0.68,pitchspeed between -0.087 and 0.088,yawspeed between -0.043 and 0.039,airspeed between 0.04 and 6.9,throttle between 32 and 50,climb between -0.041 and 0.09,RETURN TO ORIGIN,no change,1,1,1,1
